,argpair,phenomenon,conclusion_type,domain,stronger_arg_premises,stronger_arg_conclusion,weaker_arg_premises,weaker_arg_conclusion,average_human_rating,osherson_rating,stronger_arg_scm,weaker_arg_scm,is_control,is_osherson,is_weaker_arg_shown_first
229,"['Donkeys', 'All mammals', 'Donkeys', 'Beavers']",Inclusion Fallacy,General,Mammals,['Donkeys'],All mammals,['Donkeys'],Beavers,1.0,,9.078947368421051,9.078947368421051,False,False,False
230,"['Donkeys', 'All mammals', 'Donkeys', 'Camels']",Inclusion Fallacy,General,Mammals,['Donkeys'],All mammals,['Donkeys'],Camels,2.9,,9.078947368421051,9.078947368421051,False,False,False
231,"['Donkeys', 'All mammals', 'Donkeys', 'Hamsters']",Inclusion Fallacy,General,Mammals,['Donkeys'],All mammals,['Donkeys'],Hamsters,1.6666666666666667,,9.078947368421051,9.078947368421051,False,False,False
232,"['Donkeys', 'All mammals', 'Donkeys', 'Llamas']",Inclusion Fallacy,General,Mammals,['Donkeys'],All mammals,['Donkeys'],Llamas,2.8,,9.078947368421051,9.078947368421051,False,False,True
233,"['Donkeys', 'Bats', 'All mammals', 'Donkeys', 'Llamas', 'All mammals']",Diversity (General),General,Mammals,"['Donkeys', 'Bats']",All mammals,"['Donkeys', 'Llamas']",All mammals,3.555555555555556,,9.432017543859647,10.0109649122807,False,False,True
234,"['Donkeys', 'Beavers', 'Beavers', 'Donkeys']",Asymmetry,Specific,Mammals,['Donkeys'],Beavers,['Beavers'],Donkeys,2.75,,7.802631578947368,7.152412280701754,False,False,True
235,"['Donkeys', 'Cats', 'Hamsters', 'Lions', 'Donkeys', 'Cats', 'Lions']",Monotonicity (Specific),Specific,Mammals,"['Donkeys', 'Cats', 'Hamsters']",Lions,"['Donkeys', 'Cats']",Lions,1.8888888888888888,,12.043859649122806,11.474780701754389,False,False,True
236,"['Donkeys', 'Cats', 'Rabbits', 'Tigers', 'Donkeys', 'Cats', 'Tigers']",Monotonicity (Specific),Specific,Mammals,"['Donkeys', 'Cats', 'Rabbits']",Tigers,"['Donkeys', 'Cats']",Tigers,2.7777777777777777,,13.086622807017545,12.658991228070176,False,False,False
237,"['Donkeys', 'Hamsters', 'All mammals', 'Donkeys', 'Zebras', 'All mammals']",Diversity (General),General,Mammals,"['Donkeys', 'Hamsters']",All mammals,"['Donkeys', 'Zebras']",All mammals,2.625,,10.861842105263158,9.88157894736842,False,False,True
238,"['Donkeys', 'Hamsters', 'Dogs', 'Donkeys', 'Cows', 'Dogs']",Diversity (Specific),Specific,Mammals,"['Donkeys', 'Hamsters']",Dogs,"['Donkeys', 'Cows']",Dogs,2.888888888888889,,9.667763157894736,9.091008771929824,False,False,True
239,"['Donkeys', 'Kangaroos', 'Bats', 'All mammals', 'Donkeys', 'Kangaroos', 'All mammals']",Monotonicity (General),General,Mammals,"['Donkeys', 'Kangaroos', 'Bats']",All mammals,"['Donkeys', 'Kangaroos']",All mammals,2.4,,9.510964912280702,9.241228070175438,False,False,False
240,"['Donkeys', 'Lions', 'Beavers', 'All mammals', 'Donkeys', 'Lions', 'All mammals']",Monotonicity (General),General,Mammals,"['Donkeys', 'Lions', 'Beavers']",All mammals,"['Donkeys', 'Lions']",All mammals,1.4444444444444444,,11.56578947368421,10.49780701754386,False,False,False
241,"['Donkeys', 'Sheep', 'Donkeys', 'Chameleons', 'Sheep']",Nonmonotonicity (Specific),Mixed,Mammals,['Donkeys'],Sheep,"['Donkeys', 'Chameleons']",Sheep,2.3,,,,False,False,False
242,"['Doves', 'All birds', 'Chickens', 'All birds']",Typicality,General,Birds,['Doves'],All birds,['Chickens'],All birds,1.9,,9.955882352941176,9.63970588235294,False,False,False
243,"['Doves', 'All birds', 'Doves', 'Storks']",Inclusion Fallacy,General,Birds,['Doves'],All birds,['Doves'],Storks,2.375,,9.955882352941176,9.955882352941176,False,False,False
244,"['Doves', 'All birds', 'Doves', 'Turkeys']",Inclusion Fallacy,General,Birds,['Doves'],All birds,['Doves'],Turkeys,2.1,,9.955882352941176,9.955882352941176,False,False,True
245,"['Doves', 'All birds', 'Ostriches', 'All birds']",Typicality,General,Birds,['Doves'],All birds,['Ostriches'],All birds,2.333333333333333,,9.955882352941176,8.25,False,False,True
246,"['Doves', 'All birds', 'Penguins', 'All birds']",Typicality,General,Birds,['Doves'],All birds,['Penguins'],All birds,2.7777777777777777,,9.955882352941176,6.25,False,False,False
247,"['Doves', 'All birds', 'Roosters', 'All birds']",Typicality,General,Birds,['Doves'],All birds,['Roosters'],All birds,2.3,,9.955882352941176,9.144607843137257,False,False,False
248,"['Doves', 'All birds', 'Turkeys', 'All birds']",Typicality,General,Birds,['Doves'],All birds,['Turkeys'],All birds,1.7777777777777777,,9.955882352941176,9.620098039215684,False,False,False
249,"['Doves', 'Blackbirds', 'Doves', 'Spiders', 'Blackbirds']",Nonmonotonicity (Specific),Mixed,Birds,['Doves'],Blackbirds,"['Doves', 'Spiders']",Blackbirds,1.0,,,,False,False,True
250,"['Doves', 'Crows', 'All birds', 'Doves', 'Crows', 'All animals']",Specificity,General,Birds,"['Doves', 'Crows']",All birds,"['Doves', 'Crows']",All animals,0.5555555555555556,,,,False,False,False
251,"['Doves', 'Falcons', 'All birds', 'Doves', 'Falcons', 'All animals']",Specificity,General,Birds,"['Doves', 'Falcons']",All birds,"['Doves', 'Falcons']",All animals,0.5555555555555556,,,,False,False,False
252,"['Doves', 'Falcons', 'Ostriches', 'All birds', 'Doves', 'Falcons', 'All birds']",Monotonicity (General),General,Birds,"['Doves', 'Falcons', 'Ostriches']",All birds,"['Doves', 'Falcons']",All birds,1.0,,12.017156862745097,11.272058823529411,False,False,True
253,"['Doves', 'Magpies', 'Parrots', 'Sparrows', 'Doves', 'Magpies', 'Sparrows']",Monotonicity (Specific),Specific,Birds,"['Doves', 'Magpies', 'Parrots']",Sparrows,"['Doves', 'Magpies']",Sparrows,1.1,,11.928921568627452,11.588235294117649,False,False,False
254,"['Doves', 'Ostriches', 'All birds', 'Doves', 'Chickens', 'All birds']",Diversity (General),General,Birds,"['Doves', 'Ostriches']",All birds,"['Doves', 'Chickens']",All birds,2.3,,11.105392156862743,11.301470588235295,False,False,True
255,"['Doves', 'Ostriches', 'All birds', 'Doves', 'Magpies', 'All birds']",Diversity (General),General,Birds,"['Doves', 'Ostriches']",All birds,"['Doves', 'Magpies']",All birds,2.0,,11.105392156862743,11.176470588235295,False,False,False
256,"['Doves', 'Ostriches', 'Ostriches', 'Doves']",Asymmetry,Specific,Birds,['Doves'],Ostriches,['Ostriches'],Doves,2.333333333333333,,7.625,6.772058823529411,False,False,True
257,"['Doves', 'Owls', 'Storks', 'All birds', 'Doves', 'Owls', 'All birds']",Monotonicity (General),General,Birds,"['Doves', 'Owls', 'Storks']",All birds,"['Doves', 'Owls']",All birds,1.4,,11.708333333333334,10.392156862745098,False,False,False
258,"['Doves', 'Roosters', 'Roosters', 'Doves']",Asymmetry,Specific,Birds,['Doves'],Roosters,['Roosters'],Doves,2.3,,8.977941176470587,8.572303921568627,False,False,False
259,"['Doves', 'Swallows', 'Ostriches', 'All birds', 'Doves', 'Swallows', 'All birds']",Monotonicity (General),General,Birds,"['Doves', 'Swallows', 'Ostriches']",All birds,"['Doves', 'Swallows']",All birds,1.4444444444444444,,11.70343137254902,10.806372549019608,False,False,True
260,"['Ducks', 'Eagles', 'Swallows', 'Ducks', 'Chickens', 'Swallows']",Diversity (Specific),Specific,Birds,"['Ducks', 'Eagles']",Swallows,"['Ducks', 'Chickens']",Swallows,2.6666666666666665,,9.606617647058822,9.324754901960784,False,False,False
261,"['Ducks', 'Turkeys', 'Penguins', 'Swans', 'Ducks', 'Turkeys', 'Swans']",Monotonicity (Specific),Specific,Birds,"['Ducks', 'Turkeys', 'Penguins']",Swans,"['Ducks', 'Turkeys']",Swans,1.7777777777777777,,12.775735294117649,12.775735294117649,False,False,False
262,"['Ducks', 'Vultures', 'Ducks', 'Ants', 'Vultures']",Nonmonotonicity (Specific),Mixed,Birds,['Ducks'],Vultures,"['Ducks', 'Ants']",Vultures,1.7777777777777777,,,,False,False,False
263,"['Ducks', 'Vultures', 'Seagulls', 'Ducks', 'Turkeys', 'Seagulls']",Diversity (Specific),Specific,Birds,"['Ducks', 'Vultures']",Seagulls,"['Ducks', 'Turkeys']",Seagulls,2.8,,9.829656862745098,9.452205882352942,False,False,False
264,"['Eagles', 'All birds', 'Eagles', 'Peacocks']",Inclusion Fallacy,General,Birds,['Eagles'],All birds,['Eagles'],Peacocks,2.0,,9.009803921568627,9.009803921568627,False,False,False
265,"['Eagles', 'All birds', 'Eagles', 'Vultures']",Inclusion Fallacy,General,Birds,['Eagles'],All birds,['Eagles'],Vultures,3.0,,9.009803921568627,9.009803921568627,False,False,True
266,"['Eagles', 'Chickens', 'All birds', 'Eagles', 'Owls', 'All birds']",Diversity (General),General,Birds,"['Eagles', 'Chickens']",All birds,"['Eagles', 'Owls']",All birds,3.3,,11.370098039215684,9.67156862745098,False,False,True
267,"['Eagles', 'Chickens', 'Chickens', 'Eagles']",Asymmetry,Specific,Birds,['Eagles'],Chickens,['Chickens'],Eagles,1.6,,7.622549019607844,7.9375,False,False,True
268,"['Eagles', 'Chickens', 'Ostriches', 'All birds', 'Eagles', 'Chickens', 'All birds']",Monotonicity (General),General,Birds,"['Eagles', 'Chickens', 'Ostriches']",All birds,"['Eagles', 'Chickens']",All birds,0.7777777777777778,,11.914215686274511,11.370098039215684,False,False,False
269,"['Eagles', 'Crows', 'Penguins', 'Storks', 'Eagles', 'Crows', 'Storks']",Monotonicity (Specific),Specific,Birds,"['Eagles', 'Crows', 'Penguins']",Storks,"['Eagles', 'Crows']",Storks,2.111111111111111,,10.279411764705882,10.216911764705882,False,False,False
270,"['Eagles', 'Ducks', 'All birds', 'Eagles', 'Falcons', 'All birds']",Diversity (General),General,Birds,"['Eagles', 'Ducks']",All birds,"['Eagles', 'Falcons']",All birds,2.555555555555556,,10.977941176470589,9.987745098039216,False,False,False
271,"['Eagles', 'Ducks', 'Ducks', 'Eagles']",Asymmetry,Specific,Birds,['Eagles'],Ducks,['Ducks'],Eagles,2.7777777777777777,,7.975490196078431,8.060049019607844,False,False,True
272,"['Eagles', 'Ducks', 'Seagulls', 'Eagles', 'Owls', 'Seagulls']",Diversity (Specific),Specific,Birds,"['Eagles', 'Ducks']",Seagulls,"['Eagles', 'Owls']",Seagulls,1.9,,9.930147058823527,9.276960784313726,False,False,False
273,"['Eagles', 'Owls', 'All birds', 'Eagles', 'Owls', 'Lice', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Eagles', 'Owls']",All birds,"['Eagles', 'Owls', 'Lice']",All birds,0.7,,,,False,False,False
274,"['Eagles', 'Parrots', 'Ostriches', 'All birds', 'Eagles', 'Parrots', 'All birds']",Monotonicity (General),General,Birds,"['Eagles', 'Parrots', 'Ostriches']",All birds,"['Eagles', 'Parrots']",All birds,0.6666666666666666,,11.183823529411764,10.41421568627451,False,False,True
275,"['Eagles', 'Penguins', 'Eagles', 'All birds']",Inclusion Fallacy,General,Birds,['Eagles'],Penguins,['Eagles'],All birds,2.25,,9.009803921568627,9.009803921568627,False,False,True
276,"['Eagles', 'Penguins', 'Penguins', 'Eagles']",Asymmetry,Specific,Birds,['Eagles'],Penguins,['Penguins'],Eagles,2.5,,7.21078431372549,5.830882352941177,False,False,False
277,"['Eagles', 'Storks', 'Ducks', 'Parrots', 'Eagles', 'Storks', 'Parrots']",Monotonicity (Specific),Specific,Birds,"['Eagles', 'Storks', 'Ducks']",Parrots,"['Eagles', 'Storks']",Parrots,1.2,,10.15563725490196,9.410539215686274,False,False,False
278,"['Eagles', 'Storks', 'Storks', 'Eagles']",Asymmetry,Specific,Birds,['Eagles'],Storks,['Storks'],Eagles,2.4,,9.357843137254902,9.372549019607842,False,False,True
279,"['Eagles', 'Turkeys', 'All birds', 'Eagles', 'Turkeys', 'Leeches', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Eagles', 'Turkeys']",All birds,"['Eagles', 'Turkeys', 'Leeches']",All birds,0.5555555555555556,,,,False,False,False
280,"['Elephants', 'Bats', 'All mammals', 'Elephants', 'Bats', 'Alligators', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Elephants', 'Bats']",All mammals,"['Elephants', 'Bats', 'Alligators']",All mammals,1.8888888888888888,,,,False,False,True
281,"['Elephants', 'Beavers', 'All mammals', 'Elephants', 'Beavers', 'All animals']",Specificity,General,Mammals,"['Elephants', 'Beavers']",All mammals,"['Elephants', 'Beavers']",All animals,1.8888888888888888,,,,False,False,True
282,"['Elephants', 'Deer', 'All mammals', 'Elephants', 'Deer', 'Cobras', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Elephants', 'Deer']",All mammals,"['Elephants', 'Deer', 'Cobras']",All mammals,1.0,,,,False,False,True
283,"['Elephants', 'Dogs', 'All mammals', 'Elephants', 'Dogs', 'All animals']",Specificity,General,Mammals,"['Elephants', 'Dogs']",All mammals,"['Elephants', 'Dogs']",All animals,1.0,,,,False,False,True
284,"['Elephants', 'Hedgehogs', 'Sheep', 'Elephants', 'Giraffes', 'Sheep']",Diversity (Specific),Specific,Mammals,"['Elephants', 'Hedgehogs']",Sheep,"['Elephants', 'Giraffes']",Sheep,3.111111111111111,,8.083333333333334,7.797149122807017,False,False,False
285,"['Elephants', 'Kangaroos', 'All mammals', 'Elephants', 'Kangaroos', 'All animals']",Specificity,General,Mammals,"['Elephants', 'Kangaroos']",All mammals,"['Elephants', 'Kangaroos']",All animals,1.4,,,,False,False,False
286,"['Elephants', 'Rabbits', 'All mammals', 'Elephants', 'Rabbits', 'Cobras', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Elephants', 'Rabbits']",All mammals,"['Elephants', 'Rabbits', 'Cobras']",All mammals,1.1,,,,False,False,True
287,"['Elephants', 'Rhinos', 'All mammals', 'Elephants', 'Rhinos', 'Tortoises', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Elephants', 'Rhinos']",All mammals,"['Elephants', 'Rhinos', 'Tortoises']",All mammals,3.0,,,,False,False,True
288,"['Falcons', 'Ducks', 'All birds', 'Falcons', 'Ducks', 'Worms', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Falcons', 'Ducks']",All birds,"['Falcons', 'Ducks', 'Worms']",All birds,0.625,,,,False,False,False
289,"['Falcons', 'Eagles', 'Ducks', 'Eagles']",Similarity,Specific,Birds,['Falcons'],Eagles,['Ducks'],Eagles,0.8888888888888888,,12.441176470588236,8.060049019607844,False,False,True
290,"['Falcons', 'Owls', 'Penguins', 'Owls']",Similarity,Specific,Birds,['Falcons'],Owls,['Penguins'],Owls,1.1,,10.911764705882351,6.066176470588236,False,False,True
291,"['Falcons', 'Owls', 'Roosters', 'Ostriches', 'Falcons', 'Owls', 'Ostriches']",Monotonicity (Specific),Specific,Birds,"['Falcons', 'Owls', 'Roosters']",Ostriches,"['Falcons', 'Owls']",Ostriches,2.0,,9.149509803921568,8.498774509803923,False,False,False
292,"['Falcons', 'Owls', 'Swans', 'Owls']",Similarity,Specific,Birds,['Falcons'],Owls,['Swans'],Owls,0.8888888888888888,,10.911764705882351,7.779411764705882,False,False,False
293,"['Falcons', 'Penguins', 'All birds', 'Falcons', 'Vultures', 'All birds']",Diversity (General),General,Birds,"['Falcons', 'Penguins']",All birds,"['Falcons', 'Vultures']",All birds,2.375,,9.72549019607843,10.15686274509804,False,False,False
294,"['Falcons', 'Swallows', 'Penguins', 'Swallows']",Similarity,Specific,Birds,['Falcons'],Swallows,['Penguins'],Swallows,1.6,,10.0,6.536764705882353,False,False,True
295,"['Falcons', 'Swans', 'All birds', 'Falcons', 'Vultures', 'All birds']",Diversity (General),General,Birds,"['Falcons', 'Swans']",All birds,"['Falcons', 'Vultures']",All birds,2.4444444444444446,,11.03186274509804,10.15686274509804,False,False,False
296,"['Falcons', 'Swans', 'Ostriches', 'Robins', 'Falcons', 'Swans', 'Robins']",Monotonicity (Specific),Specific,Birds,"['Falcons', 'Swans', 'Ostriches']",Robins,"['Falcons', 'Swans']",Robins,1.8,,9.26348039215686,9.01593137254902,False,False,False
297,"['Foxes', 'Pigs', 'Wolves', 'Gorillas', 'Pigs', 'Wolves', 'Gorillas']",Monotonicity (Specific),Specific,Mammals,"['Foxes', 'Pigs', 'Wolves']",Gorillas,"['Pigs', 'Wolves']",Gorillas,2.1,0.825,,,False,True,True
298,"['Giraffes', 'Bats', 'All mammals', 'Giraffes', 'Camels', 'All mammals']",Diversity (General),General,Mammals,"['Giraffes', 'Bats']",All mammals,"['Giraffes', 'Camels']",All mammals,3.111111111111111,,8.74561403508772,9.133771929824562,False,False,True
299,"['Giraffes', 'Bats', 'Rabbits', 'Giraffes', 'Camels', 'Rabbits']",Diversity (Specific),Specific,Mammals,"['Giraffes', 'Bats']",Rabbits,"['Giraffes', 'Camels']",Rabbits,2.6,,7.68859649122807,7.8826754385964914,False,False,True
300,"['Giraffes', 'Bats', 'Rabbits', 'Giraffes', 'Zebras', 'Rabbits']",Diversity (Specific),Specific,Mammals,"['Giraffes', 'Bats']",Rabbits,"['Giraffes', 'Zebras']",Rabbits,3.111111111111111,,7.68859649122807,8.132675438596491,False,False,True
301,"['Giraffes', 'Elephants', 'Bats', 'Elephants']",Similarity,Specific,Mammals,['Giraffes'],Elephants,['Bats'],Elephants,1.2222222222222223,,9.008771929824562,5.453947368421053,False,False,False
302,"['Giraffes', 'Elephants', 'Hedgehogs', 'All mammals', 'Giraffes', 'Elephants', 'All mammals']",Monotonicity (General),General,Mammals,"['Giraffes', 'Elephants', 'Hedgehogs']",All mammals,"['Giraffes', 'Elephants']",All mammals,0.8888888888888888,,10.442982456140353,9.015350877192985,False,False,False
303,"['Giraffes', 'Elephants', 'Mice', 'Elephants']",Similarity,Specific,Mammals,['Giraffes'],Elephants,['Mice'],Elephants,1.1,,9.008771929824562,5.934210526315789,False,False,False
304,"['Giraffes', 'Elephants', 'Squirrels', 'Elephants']",Similarity,Specific,Mammals,['Giraffes'],Elephants,['Squirrels'],Elephants,1.3333333333333333,,9.008771929824562,6.342105263157895,False,False,True
305,"['Giraffes', 'Hamsters', 'Beavers', 'All mammals', 'Giraffes', 'Hamsters', 'All mammals']",Monotonicity (General),General,Mammals,"['Giraffes', 'Hamsters', 'Beavers']",All mammals,"['Giraffes', 'Hamsters']",All mammals,1.0,,10.817982456140353,10.331140350877194,False,False,False
306,"['Giraffes', 'Zebras', 'Mice', 'Zebras']",Similarity,Specific,Mammals,['Giraffes'],Zebras,['Mice'],Zebras,1.1,,9.482456140350877,6.118421052631579,False,False,False
307,"['Hamsters', 'Camels', 'All mammals', 'Hamsters', 'Squirrels', 'All mammals']",Diversity (General),General,Mammals,"['Hamsters', 'Camels']",All mammals,"['Hamsters', 'Squirrels']",All mammals,3.2222222222222223,,10.394736842105262,8.491228070175438,False,False,True
308,"['Hamsters', 'Cats', 'Beavers', 'All mammals', 'Hamsters', 'Cats', 'All mammals']",Monotonicity (General),General,Mammals,"['Hamsters', 'Cats', 'Beavers']",All mammals,"['Hamsters', 'Cats']",All mammals,1.625,,10.300438596491228,9.769736842105262,False,False,False
309,"['Hamsters', 'Cows', 'Hamsters', 'Salamanders', 'Cows']",Nonmonotonicity (Specific),Mixed,Mammals,['Hamsters'],Cows,"['Hamsters', 'Salamanders']",Cows,1.625,,,,False,False,False
310,"['Hamsters', 'Dogs', 'All mammals', 'Hamsters', 'Dogs', 'All animals']",Specificity,General,Mammals,"['Hamsters', 'Dogs']",All mammals,"['Hamsters', 'Dogs']",All animals,1.6666666666666667,,,,False,False,True
311,"['Hamsters', 'Giraffes', 'All mammals', 'Hamsters', 'Giraffes', 'Turtles', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Hamsters', 'Giraffes']",All mammals,"['Hamsters', 'Giraffes', 'Turtles']",All mammals,1.4444444444444444,,,,False,False,True
312,"['Hamsters', 'Mice', 'Camels', 'Mice']",Similarity,Specific,Mammals,['Hamsters'],Mice,['Camels'],Mice,0.4444444444444444,,10.64035087719298,6.479166666666666,False,False,False
313,"['Hamsters', 'Rabbits', 'Squirrels', 'Kangaroos', 'Hamsters', 'Rabbits', 'Kangaroos']",Monotonicity (Specific),Specific,Mammals,"['Hamsters', 'Rabbits', 'Squirrels']",Kangaroos,"['Hamsters', 'Rabbits']",Kangaroos,1.5,,8.385964912280702,8.173245614035089,False,False,True
314,"['Hamsters', 'Rhinos', 'Sheep', 'Hamsters', 'Hedgehogs', 'Sheep']",Diversity (Specific),Specific,Mammals,"['Hamsters', 'Rhinos']",Sheep,"['Hamsters', 'Hedgehogs']",Sheep,3.625,,9.018640350877192,8.083333333333332,False,False,False
315,"['Hamsters', 'Sheep', 'All mammals', 'Hamsters', 'Sheep', 'Dinosaurs', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Hamsters', 'Sheep']",All mammals,"['Hamsters', 'Sheep', 'Dinosaurs']",All mammals,2.6666666666666665,,,,False,False,True
316,"['Hamsters', 'Sheep', 'Bats', 'All mammals', 'Hamsters', 'Sheep', 'All mammals']",Monotonicity (General),General,Mammals,"['Hamsters', 'Sheep', 'Bats']",All mammals,"['Hamsters', 'Sheep']",All mammals,2.4,,9.791666666666666,9.791666666666666,False,False,False
317,"['Hawks', 'Sparrows', 'Eagles', 'All birds', 'Sparrows', 'Eagles', 'All birds']",Monotonicity (General),General,Birds,"['Hawks', 'Sparrows', 'Eagles']",All birds,"['Sparrows', 'Eagles']",All birds,0.6,0.9375,,,False,True,True
318,"['Hedgehogs', 'Cats', 'Hedgehogs', 'Crocodiles', 'Cats']",Nonmonotonicity (Specific),Mixed,Mammals,['Hedgehogs'],Cats,"['Hedgehogs', 'Crocodiles']",Cats,1.4,,,,False,False,False
319,"['Hedgehogs', 'Elephants', 'Pigs', 'Hedgehogs', 'Mice', 'Pigs']",Diversity (Specific),Specific,Mammals,"['Hedgehogs', 'Elephants']",Pigs,"['Hedgehogs', 'Mice']",Pigs,2.111111111111111,,8.37280701754386,7.532894736842105,False,False,True
320,"['Hedgehogs', 'Hamsters', 'Camels', 'Hamsters']",Similarity,Specific,Mammals,['Hedgehogs'],Hamsters,['Camels'],Hamsters,1.0,,8.400219298245615,6.847587719298246,False,False,False
321,"['Hedgehogs', 'Llamas', 'Hedgehogs', 'Crocodiles', 'Llamas']",Nonmonotonicity (Specific),Mixed,Mammals,['Hedgehogs'],Llamas,"['Hedgehogs', 'Crocodiles']",Llamas,1.9,,,,False,False,False
322,"['Hedgehogs', 'Mice', 'Llamas', 'Mice']",Similarity,Specific,Mammals,['Hedgehogs'],Mice,['Llamas'],Mice,1.4,,8.268640350877194,7.485745614035087,False,False,False
323,"['Hedgehogs', 'Tigers', 'All mammals', 'Hedgehogs', 'Tigers', 'All animals']",Specificity,General,Mammals,"['Hedgehogs', 'Tigers']",All mammals,"['Hedgehogs', 'Tigers']",All animals,1.3,,,,False,False,True
324,"['Helicopters', 'Boats', 'Mopeds', 'Helicopters', 'Airplanes', 'Mopeds']",Diversity (Specific),Specific,Vehicles,"['Helicopters', 'Boats']",Mopeds,"['Helicopters', 'Airplanes']",Mopeds,2.0,,7.236111111111111,6.865277777777777,False,False,False
325,"['Helicopters', 'Boats', 'Trams', 'Helicopters', 'Zeppelins', 'Trams']",Diversity (Specific),Specific,Vehicles,"['Helicopters', 'Boats']",Trams,"['Helicopters', 'Zeppelins']",Trams,2.1,,7.302777777777777,6.783333333333333,False,False,False
326,"['Helicopters', 'Carts', 'All vehicles', 'Helicopters', 'Zeppelins', 'All vehicles']",Diversity (General),General,Vehicles,"['Helicopters', 'Carts']",All vehicles,"['Helicopters', 'Zeppelins']",All vehicles,2.0,,9.927777777777775,7.766666666666667,False,False,False
327,"['Helicopters', 'Skateboards', 'Cars', 'Helicopters', 'Zeppelins', 'Cars']",Diversity (Specific),Specific,Vehicles,"['Helicopters', 'Skateboards']",Cars,"['Helicopters', 'Zeppelins']",Cars,2.375,,7.279166666666667,7.016666666666667,False,False,False
328,"['Helicopters', 'Skateboards', 'Jeeps', 'Helicopters', 'Zeppelins', 'Jeeps']",Diversity (Specific),Specific,Vehicles,"['Helicopters', 'Skateboards']",Jeeps,"['Helicopters', 'Zeppelins']",Jeeps,1.9,,7.079166666666666,6.816666666666666,False,False,False
329,"['Helicopters', 'Submarines', 'All vehicles', 'Helicopters', 'Submarines', 'Tong', 'All vehicles']",Nonmonotonicity (General),Mixed,Vehicles,"['Helicopters', 'Submarines']",All vehicles,"['Helicopters', 'Submarines', 'Tong']",All vehicles,1.3,,,,False,False,False
330,"['Helicopters', 'Tractors', 'Rockets', 'Sleds', 'Helicopters', 'Tractors', 'Sleds']",Monotonicity (Specific),Specific,Vehicles,"['Helicopters', 'Tractors', 'Rockets']",Sleds,"['Helicopters', 'Tractors']",Sleds,2.125,,7.504166666666666,7.219444444444445,False,False,True
331,"['Herons', 'Canaries', 'All birds', 'Herons', 'Canaries', 'All animals']",Specificity,General,Birds,"['Herons', 'Canaries']",All birds,"['Herons', 'Canaries']",All animals,0.5,,,,False,False,True
332,"['Herons', 'Crows', 'Penguins', 'Crows']",Similarity,Specific,Birds,['Herons'],Crows,['Penguins'],Crows,1.875,,10.290441176470589,6.1838235294117645,False,False,True
333,"['Herons', 'Doves', 'All birds', 'Herons', 'Doves', 'Grasshoppers', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Herons', 'Doves']",All birds,"['Herons', 'Doves', 'Grasshoppers']",All birds,1.4444444444444444,,,,False,False,False
334,"['Herons', 'Falcons', 'Peacocks', 'All birds', 'Herons', 'Falcons', 'All birds']",Monotonicity (General),General,Birds,"['Herons', 'Falcons', 'Peacocks']",All birds,"['Herons', 'Falcons']",All birds,1.0,,11.82107843137255,10.818627450980392,False,False,False
335,"['Herons', 'Falcons', 'Roosters', 'Ostriches', 'Herons', 'Falcons', 'Ostriches']",Monotonicity (Specific),Specific,Birds,"['Herons', 'Falcons', 'Roosters']",Ostriches,"['Herons', 'Falcons']",Ostriches,1.375,,11.113970588235292,10.438725490196076,False,False,True
336,"['Herons', 'Peacocks', 'All birds', 'Herons', 'Peacocks', 'All animals']",Specificity,General,Birds,"['Herons', 'Peacocks']",All birds,"['Herons', 'Peacocks']",All animals,1.0,,,,False,False,False
337,"['Herons', 'Roosters', 'All birds', 'Herons', 'Roosters', 'All animals']",Specificity,General,Birds,"['Herons', 'Roosters']",All birds,"['Herons', 'Roosters']",All animals,0.7,,,,False,False,False
338,"['Herons', 'Seagulls', 'Herons', 'Lice', 'Seagulls']",Nonmonotonicity (Specific),Mixed,Birds,['Herons'],Seagulls,"['Herons', 'Lice']",Seagulls,0.7777777777777778,,,,False,False,False
339,"['Herons', 'Sparrows', 'All birds', 'Herons', 'Sparrows', 'All animals']",Specificity,General,Birds,"['Herons', 'Sparrows']",All birds,"['Herons', 'Sparrows']",All animals,0.6666666666666666,,,,False,False,True
340,"['Herons', 'Sparrows', 'Penguins', 'All birds', 'Herons', 'Sparrows', 'All birds']",Monotonicity (General),General,Birds,"['Herons', 'Sparrows', 'Penguins']",All birds,"['Herons', 'Sparrows']",All birds,0.5,,11.676470588235295,11.627450980392156,False,False,False
341,"['Herons', 'Turkeys', 'All birds', 'Herons', 'Turkeys', 'Mosquitoes', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Herons', 'Turkeys']",All birds,"['Herons', 'Turkeys', 'Mosquitoes']",All birds,1.4,,,,False,False,False
342,"['Hippos', 'Hamsters', 'All mammals', 'Hippos', 'Rhinoceroses', 'All mammals']",Diversity (General),General,Mammals,"['Hippos', 'Hamsters']",All mammals,"['Hippos', 'Rhinoceroses']",All mammals,2.6,0.7375,,,False,True,False
